game_id,skill_level,estimated_rating,rating_bucket,cheat_pct,is_cheat,suspect_color,n_moves,result,acpl,acpl_opening,acpl_middlegame,acpl_endgame,top1_match_rate,top3_match_rate,cp_loss_std,cp_loss_median,only_move_match_rate,blunder_rate,mistake_rate
5524,9,1900,1800-2000,0,0,black,57,1-0,53.80701754385965,10.5,66.07142857142857,37.4,0.40350877192982454,0.7192982456140351,141.2086223942199,11.0,1.0,0.03508771929824561,0.14035087719298245
5528,9,1900,1800-2000,0,0,white,63,1-0,14.063492063492063,18.5,15.285714285714286,12.487179487179487,0.5714285714285714,0.873015873015873,26.590291232054852,0.0,1.0,0.0,0.031746031746031744
5520,9,1900,1800-2000,0,0,black,85,1-0,43.529411764705884,23.9,12.291666666666666,62.07843137254902,0.4117647058823529,0.8352941176470589,130.46221794611148,7.0,0.7777777777777778,0.047058823529411764,0.09411764705882353
5523,9,1900,1800-2000,0,0,black,69,1-0,42.85507246376812,10.7,23.789473684210527,59.95,0.5072463768115942,0.7391304347826086,122.82086346893844,12.0,0.8,0.028985507246376812,0.08695652173913043
5533,9,1900,1800-2000,0,0,white,62,0-1,60.87096774193548,18.7,15.85,102.1875,0.4032258064516129,0.8387096774193549,178.49301819461945,9.5,1.0,0.04838709677419355,0.12903225806451613
5540,9,1900,1800-2000,0,0,black,26,1-0,78.65384615384616,17.6,116.8125,0.0,0.4230769230769231,0.7692307692307693,221.74533943722508,6.0,1.0,0.07692307692307693,0.07692307692307693
5531,9,1900,1800-2000,0,0,white,71,1-0,25.08450704225352,14.1,22.533333333333335,28.304347826086957,0.4647887323943662,0.7605633802816901,58.31742823568783,0.0,0.8888888888888888,0.014084507042253521,0.056338028169014086
5522,9,1900,1800-2000,0,0,black,100,*,55.46,5.9,16.676470588235293,87.85714285714286,0.42,0.78,146.6255380211783,11.0,0.8571428571428571,0.04,0.11
5539,9,1900,1800-2000,0,0,white,51,1-0,58.254901960784316,13.9,15.652173913043478,137.33333333333334,0.4117647058823529,0.7254901960784313,195.97057033329034,3.0,0.7142857142857143,0.058823529411764705,0.0784313725490196
5537,9,1900,1800-2000,0,0,white,49,1-0,28.979591836734695,8.6,4.461538461538462,49.07692307692308,0.6938775510204082,0.9387755102040817,141.9005817243571,0.0,1.0,0.02040816326530612,0.04081632653061224
5532,9,1900,1800-2000,0,0,black,82,1-0,47.426829268292686,9.9,14.5,65.35185185185185,0.5,0.8780487804878049,161.2140699609098,1.0,0.9285714285714286,0.04878048780487805,0.07317073170731707
5538,9,1900,1800-2000,0,0,black,55,1-0,30.563636363636363,7.1,33.42307692307692,39.0,0.34545454545454546,0.6727272727272727,45.33863038247491,12.0,1.0,0.0,0.09090909090909091
5536,9,1900,1800-2000,0,0,white,80,1/2-1/2,22.0,18.6,19.095238095238095,23.93877551020408,0.45,0.7875,43.726708085562535,0.5,0.9285714285714286,0.0,0.0625
5543,9,1900,1800-2000,0,0,black,53,1-0,131.47169811320754,16.1,27.75,235.66666666666666,0.4528301886792453,0.8301886792452831,288.7409626960225,17.0,0.6,0.1320754716981132,0.20754716981132076
5546,9,1900,1800-2000,0,0,white,63,1-0,54.333333333333336,7.7,32.76,90.25,0.5396825396825397,0.8412698412698413,175.41850185670492,6.0,0.9090909090909091,0.031746031746031744,0.12698412698412698
5541,9,1900,1800-2000,0,0,black,90,1/2-1/2,15.21111111111111,28.4,16.071428571428573,13.030303030303031,0.4888888888888889,0.8111111111111111,25.314683681147265,2.0,1.0,0.0,0.022222222222222223
5535,9,1900,1800-2000,0,0,black,100,*,106.58,7.3,38.733333333333334,157.05,0.38,0.67,224.25802906473604,35.5,0.7333333333333333,0.1,0.2
5542,9,1900,1800-2000,0,0,white,100,*,12.06,4.2,36.93333333333333,8.133333333333333,0.34,0.69,21.983093503872464,4.5,1.0,0.0,0.03
5548,9,1900,1800-2000,0,0,white,68,1/2-1/2,13.426470588235293,10.6,28.733333333333334,8.744186046511627,0.5147058823529411,0.8088235294117647,24.036318216931754,4.5,1.0,0.0,0.014705882352941176
5551,9,1900,1800-2000,0,0,white,66,1-0,37.803030303030305,7.4,34.8,47.916666666666664,0.48484848484848486,0.7272727272727273,130.7372126775544,0.0,0.8571428571428571,0.030303030303030304,0.10606060606060606
5549,9,1900,1800-2000,0,0,black,78,0-1,58.88461538461539,9.1,30.16216216216216,109.2258064516129,0.3974358974358974,0.6666666666666666,192.77254969823838,6.0,1.0,0.05128205128205128,0.0641025641025641
5550,9,1900,1800-2000,0,0,white,75,1-0,13.186666666666667,3.9,24.84375,4.696969696969697,0.38666666666666666,0.7733333333333333,26.145588963001437,0.0,1.0,0.0,0.013333333333333334
5544,9,1900,1800-2000,0,0,black,85,1-0,53.71764705882353,14.5,32.69565217391305,70.5576923076923,0.5176470588235295,0.8,123.91112676285427,14.0,1.0,0.03529411764705882,0.1411764705882353
5552,9,1900,1800-2000,0,0,black,71,1/2-1/2,10.845070422535212,11.7,17.958333333333332,6.0,0.4225352112676056,0.7746478873239436,19.005297917651884,2.0,1.0,0.0,0.0
5547,9,1900,1800-2000,0,0,black,62,0-1,24.274193548387096,10.3,36.15625,12.25,0.46774193548387094,0.8709677419354839,57.83462779975966,0.0,0.9166666666666666,0.03225806451612903,0.06451612903225806
5555,9,1900,1800-2000,0,0,black,77,0-1,22.961038961038962,23.7,13.08,28.666666666666668,0.37662337662337664,0.7272727272727273,44.21947668619655,2.0,1.0,0.012987012987012988,0.06493506493506493
5558,9,1900,1800-2000,0,0,black,69,1/2-1/2,7.420289855072464,8.6,18.2,3.477272727272727,0.42028985507246375,0.7971014492753623,17.5972707016704,0.0,1.0,0.0,0.014492753623188406
5545,9,1900,1800-2000,0,0,black,100,*,89.83,5.7,13.266666666666667,116.36,0.54,0.85,239.661012891125,4.5,0.8,0.11,0.13
5556,9,1900,1800-2000,0,0,white,100,*,17.43,6.0,34.94444444444444,14.63888888888889,0.4,0.74,30.34510009869799,3.0,1.0,0.0,0.03
5553,9,1900,1800-2000,0,0,white,85,0-1,31.63529411764706,6.8,22.73913043478261,40.34615384615385,0.35294117647058826,0.6588235294117647,48.35210246875299,13.0,0.8,0.011764705882352941,0.09411764705882353
5559,9,1900,1800-2000,0,0,white,49,1/2-1/2,12.428571428571429,8.3,16.22222222222222,11.142857142857142,0.6938775510204082,0.8775510204081632,28.848655045932105,0.0,1.0,0.0,0.02040816326530612
5560,9,1900,1800-2000,0,0,white,54,1-0,20.703703703703702,19.9,24.066666666666666,19.24137931034483,0.5185185185185185,0.8148148148148148,34.1242987336056,1.5,1.0,0.0,0.018518518518518517
